Gene	Gene description	Evidence
TNFRSF11B	TNF receptor superfamily member 11b	Evidence at protein level
TNFRSF13C	TNF receptor superfamily member 13C	Evidence at protein level
TNFRSF14	TNF receptor superfamily member 14	Evidence at protein level
TNFRSF18	TNF receptor superfamily member 18	Evidence at protein level
TNFRSF19	TNF receptor superfamily member 19	Evidence at protein level
TNFRSF1B	TNF receptor superfamily member 1B	Evidence at protein level
TNFRSF25	TNF receptor superfamily member 25	Evidence at protein level
TNFRSF4	TNF receptor superfamily member 4	Evidence at protein level
TNFRSF6B	TNF receptor superfamily member 6b	Evidence at protein level
TNFSF12	TNF superfamily member 12	Evidence at protein level
TNFSF13B	TNF superfamily member 13b	Evidence at protein level
TNFSF4	TNF superfamily member 4	Evidence at protein level
TNFSF9	TNF superfamily member 9	Evidence at protein level
TNIK	TRAF2 and NCK interacting kinase	Evidence at protein level
TNK1	Tyrosine kinase non receptor 1	Evidence at protein level
TNNC1	"Troponin C1, slow skeletal and cardiac type"	Evidence at protein level
TNNC2	"Troponin C2, fast skeletal type"	Evidence at protein level
TNNI2	"Troponin I2, fast skeletal type"	Evidence at protein level
TNNI3	"Troponin I3, cardiac type"	Evidence at protein level
TNNI3K	TNNI3 interacting kinase	Evidence at protein level
TNNT1	"Troponin T1, slow skeletal type"	Evidence at protein level
TNNT2	"Troponin T2, cardiac type"	Evidence at protein level
TNNT3	"Troponin T3, fast skeletal type"	Evidence at protein level
TNRC6C	Trinucleotide repeat containing adaptor 6C	Evidence at protein level
TNS2	Tensin 2	Evidence at protein level
TNXB	Tenascin XB	Evidence at protein level
TOGARAM2	TOG array regulator of axonemal microtubules 2	Evidence at protein level
TONSL	"Tonsoku like, DNA repair protein"	Evidence at protein level
TOP2A	DNA topoisomerase II alpha	Evidence at protein level
TOR4A	Torsin family 4 member A	Evidence at protein level
TOX	Thymocyte selection associated high mobility group box	Evidence at protein level
TOX3	TOX high mobility group box family member 3	Evidence at protein level
TP53AIP1	Tumor protein p53 regulated apoptosis inducing protein 1	Evidence at transcript level
TPBG	Trophoblast glycoprotein	Evidence at protein level
TPD52L1	TPD52 like 1	Evidence at protein level
TPGS1	Tubulin polyglutamylase complex subunit 1	Evidence at protein level
TPO	Thyroid peroxidase	Evidence at protein level
TPPP	Tubulin polymerization promoting protein	Evidence at protein level
TPRN	Taperin	Evidence at protein level
TPSAB1	Tryptase alpha/beta 1	Evidence at protein level
TPSB2	Tryptase beta 2	Evidence at protein level
TPX2	TPX2 microtubule nucleation factor	Evidence at protein level
TRABD2B	TraB domain containing 2B	Evidence at protein level
TRAF3IP3	TRAF3 interacting protein 3	Evidence at protein level
TRAF4	TNF receptor associated factor 4	Evidence at protein level
TRAF5	TNF receptor associated factor 5	Evidence at protein level
TRAIP	TRAF interacting protein	Evidence at protein level
TRAJ39	T cell receptor alpha joining 39	Evidence at transcript level
TRAM1L1	Translocation associated membrane protein 1 like 1	Evidence at protein level
TRANK1	Tetratricopeptide repeat and ankyrin repeat containing 1	Evidence at protein level
TRBC1	T cell receptor beta constant 1	Evidence at protein level
TRBJ1-3	T cell receptor beta joining 1-3	Evidence at transcript level
TRBJ1-6	T cell receptor beta joining 1-6	Evidence at transcript level
TRBJ2-2P	T cell receptor beta joining 2-2P (non-functional)	Evidence at transcript level
TRBJ2-3	T cell receptor beta joining 2-3	Evidence at protein level
TRDC	T cell receptor delta constant	Evidence at protein level
TRDJ1	T cell receptor delta joining 1	Evidence at protein level
TRDJ2	T cell receptor delta joining 2	Evidence at transcript level
TRDMT1	TRNA aspartic acid methyltransferase 1	Evidence at protein level
TRDN	Triadin	Evidence at protein level
TREM1	Triggering receptor expressed on myeloid cells 1	Evidence at protein level
TREM2	Triggering receptor expressed on myeloid cells 2	Evidence at protein level
TRERF1	Transcriptional regulating factor 1	Evidence at protein level
TRGC2	T cell receptor gamma constant 2	Evidence at transcript level
TRGJP1	T cell receptor gamma joining P1	Evidence at transcript level
TRGJP2	T cell receptor gamma joining P2	Evidence at transcript level
TRHDE	Thyrotropin releasing hormone degrading enzyme	Evidence at protein level
TRIB3	Tribbles pseudokinase 3	Evidence at protein level
TRIL	TLR4 interactor with leucine rich repeats	Evidence at protein level
TRIM17	Tripartite motif containing 17	Evidence at protein level
TRIM2	Tripartite motif containing 2	Evidence at protein level
TRIM27	Tripartite motif containing 27	Evidence at protein level
TRIM29	Tripartite motif containing 29	Evidence at protein level
TRIM32	Tripartite motif containing 32	Evidence at protein level
TRIM34	Tripartite motif containing 34	Evidence at protein level
TRIM36	Tripartite motif containing 36	Evidence at protein level
TRIM38	Tripartite motif containing 38	Evidence at protein level
TRIM47	Tripartite motif containing 47	Evidence at protein level
TRIM54	Tripartite motif containing 54	Evidence at protein level
TRIM59	Tripartite motif containing 59	Evidence at protein level
TRIM61	Tripartite motif containing 61	Evidence at transcript level
TRIM66	Tripartite motif containing 66	Evidence at protein level
TRIM69	Tripartite motif containing 69	Evidence at protein level
TRIM7	Tripartite motif containing 7	Evidence at protein level
TRIM74	Tripartite motif containing 74	Evidence at protein level
TRIM9	Tripartite motif containing 9	Evidence at protein level
TRIP13	Thyroid hormone receptor interactor 13	Evidence at protein level
TRMT10A	TRNA methyltransferase 10A	Evidence at protein level
TRMT9B	TRNA methyltransferase 9B (putative)	Evidence at protein level
TRNP1	TMF1 regulated nuclear protein 1	Evidence at protein level
TRO	Trophinin	Evidence at protein level
TRPC1	Transient receptor potential cation channel subfamily C member 1	Evidence at protein level
TRPC4	Transient receptor potential cation channel subfamily C member 4	Evidence at protein level
TRPC6	Transient receptor potential cation channel subfamily C member 6	Evidence at protein level
TRPM2	Transient receptor potential cation channel subfamily M member 2	Evidence at protein level
TRPV6	Transient receptor potential cation channel subfamily V member 6	Evidence at protein level
TSEN2	TRNA splicing endonuclease subunit 2	Evidence at protein level
TSEN54	TRNA splicing endonuclease subunit 54	Evidence at protein level
TSGA10	Testis specific 10	Evidence at protein level
TSHZ2	Teashirt zinc finger homeobox 2	Evidence at protein level
TSNAXIP1	Translin associated factor X interacting protein 1	Evidence at protein level
TSPAN1	Tetraspanin 1	Evidence at protein level
TSPAN11	Tetraspanin 11	Evidence at protein level
TSPAN12	Tetraspanin 12	Evidence at protein level
TSPAN18	Tetraspanin 18	Evidence at protein level
TSPAN2	Tetraspanin 2	Evidence at protein level
TSPAN5	Tetraspanin 5	Evidence at protein level
TSPAN6	Tetraspanin 6	Evidence at protein level
TSPAN8	Tetraspanin 8	Evidence at protein level
TSPAN9	Tetraspanin 9	Evidence at protein level
TSSK3	Testis specific serine kinase 3	Evidence at protein level
TSSK4	Testis specific serine kinase 4	Evidence at protein level
TSTD3	Thiosulfate sulfurtransferase like domain containing 3	Evidence at transcript level
TTC22	Tetratricopeptide repeat domain 22	Evidence at protein level
TTC28	Tetratricopeptide repeat domain 28	Evidence at protein level
TTC30A	Tetratricopeptide repeat domain 30A	Evidence at protein level
TTC30B	Tetratricopeptide repeat domain 30B	Evidence at protein level
TTC33	Tetratricopeptide repeat domain 33	Evidence at protein level
TTC36	Tetratricopeptide repeat domain 36	Evidence at protein level
TTC39A	Tetratricopeptide repeat domain 39A	Evidence at protein level
TTC5	Tetratricopeptide repeat domain 5	Evidence at protein level
TTC7A	Tetratricopeptide repeat domain 7A	Evidence at protein level
TTC9	Tetratricopeptide repeat domain 9	Evidence at protein level
TTL	Tubulin tyrosine ligase	Evidence at protein level
TTLL7	Tubulin tyrosine ligase like 7	Evidence at protein level
TTN	Titin	Evidence at protein level
TTR	Transthyretin	Evidence at protein level
TTYH1	Tweety family member 1	Evidence at protein level
TUB	TUB bipartite transcription factor	Evidence at protein level
TUBA8	Tubulin alpha 8	Evidence at protein level
TUBB2B	Tubulin beta 2B class IIb	Evidence at protein level
TUBB3	Tubulin beta 3 class III	Evidence at protein level
TUBB4A	Tubulin beta 4A class IVa	Evidence at protein level
TUSC3	Tumor suppressor candidate 3	Evidence at protein level
TVP23A	Trans-golgi network vesicle protein 23 homolog A	Evidence at protein level
TWF2	Twinfilin actin binding protein 2	Evidence at protein level
TWIST1	Twist family bHLH transcription factor 1	Evidence at protein level
TXLNB	Taxilin beta	Evidence at protein level
TYK2	Tyrosine kinase 2	Evidence at protein level
TYMP	Thymidine phosphorylase	Evidence at protein level
TYMS	Thymidylate synthetase	Evidence at protein level
TYRO3	TYRO3 protein tyrosine kinase	Evidence at protein level
TYRP1	Tyrosinase related protein 1	Evidence at protein level
TYSND1	Trypsin like peroxisomal matrix peptidase 1	Evidence at protein level
TYW1B	TRNA-yW synthesizing protein 1 homolog B	Evidence at protein level
TYW5	TRNA-yW synthesizing protein 5	Evidence at protein level
U2AF1L4	U2 small nuclear RNA auxiliary factor 1 like 4	Evidence at protein level
UBASH3B	Ubiquitin associated and SH3 domain containing B	Evidence at protein level
UBE2C	Ubiquitin conjugating enzyme E2 C	Evidence at protein level
UBE2QL1	Ubiquitin conjugating enzyme E2 Q family like 1	Evidence at protein level
UBE2T	Ubiquitin conjugating enzyme E2 T	Evidence at protein level
UBE3D	Ubiquitin protein ligase E3D	Evidence at protein level
UBXN10	UBX domain protein 10	Evidence at protein level
UCHL1	Ubiquitin C-terminal hydrolase L1	Evidence at protein level
UCN	Urocortin	Evidence at protein level
UCP3	Uncoupling protein 3	Evidence at protein level
UFSP1	UFM1 specific peptidase 1 (inactive)	Evidence at protein level
UGT8	UDP glycosyltransferase 8	Evidence at protein level
UHRF1	Ubiquitin like with PHD and ring finger domains 1	Evidence at protein level
ULBP2	UL16 binding protein 2	Evidence at protein level
ULK4	Unc-51 like kinase 4	Evidence at protein level
UMPS	Uridine monophosphate synthetase	Evidence at protein level
UNC13D	Unc-13 homolog D	Evidence at protein level
UNC5B	Unc-5 netrin receptor B	Evidence at protein level
UNC5C	Unc-5 netrin receptor C	Evidence at protein level
UNC5CL	Unc-5 family C-terminal like	Evidence at protein level
UNC93B1	"Unc-93 homolog B1, TLR signaling regulator"	Evidence at protein level
UNKL	Unk like zinc finger	Evidence at protein level
UPK1B	Uroplakin 1B	Evidence at protein level
UPP1	Uridine phosphorylase 1	Evidence at protein level
UQCC3	Ubiquinol-cytochrome c reductase complex assembly factor 3	Evidence at protein level
UQCRHL	Ubiquinol-cytochrome c reductase hinge protein like	Evidence at protein level
USH1C	USH1 protein network component harmonin	Evidence at protein level
USHBP1	USH1 protein network component harmonin binding protein 1	Evidence at protein level
USP18	Ubiquitin specific peptidase 18	Evidence at protein level
USP27X	Ubiquitin specific peptidase 27 X-linked	Evidence at protein level
USP38	Ubiquitin specific peptidase 38	Evidence at protein level
USP43	Ubiquitin specific peptidase 43	Evidence at protein level
USP44	Ubiquitin specific peptidase 44	Evidence at protein level
USP49	Ubiquitin specific peptidase 49	Evidence at protein level
USP51	Ubiquitin specific peptidase 51	Evidence at protein level
USP53	Ubiquitin specific peptidase 53	Evidence at protein level
USP9Y	Ubiquitin specific peptidase 9 Y-linked	Evidence at protein level
UST	Uronyl 2-sulfotransferase	Evidence at protein level
UTP14C	UTP14C small subunit processome component	Evidence at protein level
UTS2R	Urotensin 2 receptor	Evidence at protein level
UTY	"Ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	Evidence at protein level
VANGL1	VANGL planar cell polarity protein 1	Evidence at protein level
VANGL2	VANGL planar cell polarity protein 2	Evidence at protein level
VARS1	Valyl-tRNA synthetase 1	Evidence at protein level
VARS2	"Valyl-tRNA synthetase 2, mitochondrial"	Evidence at protein level
VASH2	Vasohibin 2	Evidence at protein level
VASN	Vasorin	Evidence at protein level
VAT1L	Vesicle amine transport 1 like	Evidence at protein level
VAV1	Vav guanine nucleotide exchange factor 1	Evidence at protein level
VAV3	Vav guanine nucleotide exchange factor 3	Evidence at protein level
VCAN	Versican	Evidence at protein level
VEGFC	Vascular endothelial growth factor C	Evidence at protein level
VEGFD	Vascular endothelial growth factor D	Evidence at protein level
VENTX	VENT homeobox	Evidence at protein level
VEPH1	Ventricular zone expressed PH domain containing 1	Evidence at protein level
VIL1	Villin 1	Evidence at protein level
VIP	Vasoactive intestinal peptide	Evidence at protein level
VIPR1	Vasoactive intestinal peptide receptor 1	Evidence at protein level
VIPR2	Vasoactive intestinal peptide receptor 2	Evidence at protein level
VIT	Vitrin	Evidence at protein level
VLDLR	Very low density lipoprotein receptor	Evidence at protein level
VMAC	Vimentin type intermediate filament associated coiled-coil protein	Evidence at protein level
VMO1	Vitelline membrane outer layer 1 homolog	Evidence at protein level
VN1R1	Vomeronasal 1 receptor 1	Evidence at transcript level
VNN2	Vanin 2	Evidence at protein level
VPREB3	V-set pre-B cell surrogate light chain 3	Evidence at protein level
